bon_id;kunde;tag;verkaufsstunde;verkaufspositionsnr;referenzcluster;plz;stadt;bruttowert;edeka_oberwarengruppe;edeka_warengruppe;warengruppe_text;artikel;artikel_text
"20210518-071046-0000000001-00000000000000003684;71046;20210518;11;5;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1399466006;Knorr Fix Pilz Rahmgeschnetzeltes 40g"
"20210518-071046-0000000001-00000000000000003685;71046;20210518;11;9;1;46537;Dinslaken;1.190;220300;220302;Fertigsuppen;3499047004;Maggi FG Spargel Cremesuppe f.500ml"
"20210518-071046-0000000001-00000000000000003728;71046;20210518;12;2;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1398978001;Knorr Fix Bauerntopf mit Hackfleisch 43g"
"20210518-071046-0000000001-00000000000000003728;71046;20210518;12;3;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1398978001;Knorr Fix Bauerntopf mit Hackfleisch 43g"
"20210518-071046-0000000001-00000000000000003752;71046;20210518;13;11;1;46537;Dinslaken;1.690;220300;220309;Gekörnte Brühe;3187333002;Maggi Suppe mit Suppengrün f.8l"
"20210518-071046-0000000001-00000000000000003752;71046;20210518;13;12;1;46537;Dinslaken;1.690;220300;220309;Gekörnte Brühe;3187333002;Maggi Suppe mit Suppengrün f.8l"
"20210518-071046-0000000001-00000000000000003758;71046;20210518;13;8;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;2911256008;Knorr Natürlich Lecker Spagh.Bolo.43g"
"20210518-071046-0000000001-00000000000000003796;71046;20210518;14;3;1;46537;Dinslaken;0.980;220300;220301;Fixprodukte;1399475000;Knorr Fix Hack Reis Topf 49g"
"20210518-071046-0000000001-00000000000000003796;71046;20210518;14;1;1;46537;Dinslaken;0.980;220300;220301;Fixprodukte;1435317000;Knorr Fix gefüllte Ofenpaprika 43g"
"20210518-071046-0000000001-00000000000000003807;71046;20210518;14;14;1;46537;Dinslaken;1.780;220300;220301;Fixprodukte;3626167007;Maggi Fix Spaghetti Napoli 42g"
"20210518-071046-0000000001-00000000000000003810;71046;20210518;14;8;1;46537;Dinslaken;0.890;;;;2817938002;"
"20210518-071046-0000000001-00000000000000003810;71046;20210518;14;9;1;46537;Dinslaken;0.890;;;;2817938002;"
"20210518-071046-0000000001-00000000000000003837;71046;20210518;16;18;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;3125351002;Knorr Nat.Lecker Tagliatelle Lachs 39g"
"20210518-071046-0000000001-00000000000000003837;71046;20210518;16;19;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;3125351002;Knorr Nat.Lecker Tagliatelle Lachs 39g"
"20210518-071046-0000000001-00000000000000003861;71046;20210518;16;21;1;46537;Dinslaken;0.890;220300;220302;Fertigsuppen;3499060007;Maggi GAP Hochzeits Suppe f.1l"
"20210518-071046-0000000002-00000000000000008284;71046;20210518;12;2;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;2911256008;Knorr Natürlich Lecker Spagh.Bolo.43g"
"20210518-071046-0000000002-00000000000000008284;71046;20210518;12;3;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;2911256008;Knorr Natürlich Lecker Spagh.Bolo.43g"
"20210518-071046-0000000002-00000000000000008286;71046;20210518;12;4;1;46537;Dinslaken;0.990;220300;220303;Fertigsoßen;3031514007;Maggi Deli.Sauce zu Braten f.3x250ml"
"20210518-071046-0000000002-00000000000000008292;71046;20210518;12;8;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1398961003;Knorr Fix Jägerschnitzel 47g"
"20210518-071046-0000000002-00000000000000008292;71046;20210518;12;7;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1399476003;Knorr Fix Wikingertopf m.Hackbäll.30g"
"20210518-071046-0000000002-00000000000000008381;71046;20210518;17;2;1;46537;Dinslaken;0.890;;;;3626168000;"
"20210518-071046-0000000002-00000000000000008381;71046;20210518;17;3;1;46537;Dinslaken;0.890;;;;3626168000;"
